game,network,time,mediaindicator
San Diego St. at Utah,ABC,10/15/2005 7:00:00 PM,T
Colorado St. at BYU,SportsWest,10/15/2005 10:00:00 PM,T
Wyoming at Colorado St.,ESPN Classic,10/22/2005 3:00:00 PM,T
TCU at Air Force,ESPN Plus,10/22/2005 3:00:00 PM,T
Utah at UNLV,ABC,10/22/2005 7:00:00 PM,T
New Mexico at San Diego St.,SportsWest,10/22/2005 10:00:00 PM,T
Colorado St. at New Mexico,ESPN2 HD,10/28/2005 8:00:00 PM,T
Air Force at BYU,ESPN Plus,10/29/2005 3:00:00 PM,T
TCU at San Diego St.,ESPN360,10/29/2005 8:00:00 PM,W
BYU at UNLV,ESPN Plus,11/5/2005 3:00:00 PM,T
Army at Air Force,ESPN Classic,11/5/2005 3:30:00 PM,T
San Diego St. at Colorado St.,ESPN Plus,11/12/2005 3:00:00 PM,T
BYU at Wyoming,SportsWest,11/12/2005 6:00:00 PM,T
New Mexico at Utah,KJZZ,11/12/2005 6:30:00 PM,T
Utah at BYU,ESPN Plus,11/19/2005 3:00:00 PM,T
Wyoming at San Diego St.,SportsWest,11/19/2005 8:00:00 PM,T
Idaho at Washington St.,FSN Northwest,9/1/2005 10:00:00 PM,T
Temple at Arizona St.,FSN Arizona,9/1/2005 10:00:00 PM,T
Sacramento St. at California,CSN West,9/3/2005 5:00:00 PM,T
California at Washington,ABC,9/10/2005 3:30:00 PM,T
Boise St. at Oreogn St.,FSN,9/10/2005 6:30:00 PM,T
Rice at UCLA,FSN West 2,9/10/2005 10:00:00 PM,T
Northern Arizona at Arizona,FSN Arizona,9/10/2005 10:00:00 PM,T
Oklahoma at UCLA,ABC,9/17/2005 3:30:00 PM,T
Fresno St. at Oregon,TBS,9/17/2005 7:00:00 PM,T
Arkansas at USC,FSN,9/17/2005 10:15:00 PM,T
Notre Dame at Washington,ABC,9/24/2005 3:30:00 PM,T
USC at Oregon,ABC,9/24/2005 7:00:00 PM,T
Arizona St. at Oregon St.,TBS,9/24/2005 10:00:00 PM,T
USC at Arizona St.,ABC,10/1/2005 3:30:00 PM,T
Arizona at California,TBS,10/1/2005 7:00:00 PM,T
Washington at UCLA,FSN Regional,10/1/2005 10:15:00 PM,T
Arizona at USC,FSN,10/8/2005 3:30:00 PM,T
California at UCLA,TBS,10/8/2005 7:30:00 PM,T
Oregon at Arizona St.,FSN,10/8/2005 10:15:00 PM,T
Oregon St. at California,ABC,10/15/2005 3:30:00 PM,T
UCLA at Washington St.,FSN,10/15/2005 6:30:00 PM,T
USC at Washington,ABC,10/22/2005 3:30:00 PM,T
Oregon St. at UCLA,TBS,10/22/2005 7:00:00 PM,T
Washington St. at California,FSN,10/22/2005 10:15:00 PM,T
Washington St. at USC,ABC,10/29/2005 3:30:00 PM,T
UCLA at Stanford,FSN,10/29/2005 6:30:00 PM,T
California at Oregon,ABC,11/5/2005 3:30:00 PM,T
UCLA at Arizona,FSN West 2,11/5/2005 6:15:00 PM,T
