game,network,time,mediaindicator,
Temple at Connecticut,ESPN3,10/13/2012 13:00,W,
Akron at Ohio,ESPN3,10/13/2012 14:00,W,
North Carolina at Miami (FL),ESPNU HD,10/13/2012 14:30,T,
Maryland at Virginia,ACC RSNs HD,10/13/2012 15:00,T,
Western Michigan at Ball St.,ESPN3,10/13/2012 15:00,W,
Nevada at UNLV,Time Warner SportsNet,10/13/2012 15:00,T,
Utah at UCLA,FOX HD,10/13/2012 15:00,T,
Stanford at Notre Dame,NBC HD,10/13/2012 15:30,T,
Illinois at Michigan,ABC HD,10/13/2012 15:30,T,
Alabama at Missouri,CBS HD,10/13/2012 15:30,T,
Miami (OH) at Bowling Green,BCSN,10/13/2012 15:30,T,
Fresno St. at Boise St.,NBC Sports Network HD,10/13/2012 15:30,T,
